TTI,Total_Throughput_Mbps,Fairness_Index,User_0_Throughput,User_1_Throughput,User_2_Throughput,User_3_Throughput,User_4_Throughput,User_5_Throughput,User_6_Throughput,User_7_Throughput,User_8_Throughput,User_9_Throughput,User_0_RBs,User_1_RBs,User_2_RBs,User_3_RBs,User_4_RBs,User_5_RBs,User_6_RBs,User_7_RBs,User_8_RBs,User_9_RBs
0,193.83999999999997,0.599369198657184,12.05,1.18,44.39999999999999,31.639999999999997,16.38,44.39999999999999,4.4399999999999995,12.05,27.299999999999997,0.0,5,1,8,7,6,8,3,5,7,0
1,354.50999999999993,0.6662775694017024,26.51,7.079999999999999,72.14999999999998,58.75999999999998,30.03,72.14999999999998,7.979999999999999,26.51,50.69999999999999,2.64,6,5,5,6,5,5,3,6,6,3
2,506.05999999999983,0.6959169840688353,38.56,12.979999999999999,99.89999999999996,81.35999999999996,43.679999999999986,99.89999999999996,13.879999999999997,38.56,70.19999999999999,7.04,5,5,5,5,5,5,5,5,5,5
3,657.6099999999998,0.7120776301591393,50.609999999999985,18.88,127.64999999999995,103.95999999999994,57.32999999999997,127.64999999999995,19.779999999999998,50.609999999999985,89.70000000000002,11.440000000000003,5,5,5,5,5,5,5,5,5,5
4,821.3299999999999,0.7187059002376274,62.65999999999997,24.779999999999998,160.95000000000002,126.55999999999992,73.70999999999998,155.4,19.779999999999998,72.44999999999999,109.20000000000005,15.840000000000007,5,5,6,5,6,5,0,8,5,5
5,981.3300000000002,0.7221652303859175,77.11999999999995,31.859999999999996,188.70000000000007,149.15999999999997,87.36,188.70000000000007,19.779999999999998,88.83000000000001,128.70000000000007,21.12,6,6,5,5,5,6,0,6,5,6
6,1132.9800000000002,0.7273421382087708,89.16999999999993,37.76,216.45000000000013,171.76000000000002,101.01000000000002,216.45000000000013,24.179999999999993,102.48000000000003,148.2000000000001,25.519999999999996,5,5,5,5,5,5,5,5,5,5
7,1284.6300000000006,0.7312997383730464,101.21999999999991,43.66,244.2000000000002,194.36000000000007,114.66000000000004,244.2000000000002,28.579999999999988,116.13000000000005,167.70000000000013,29.91999999999999,5,5,5,5,5,5,5,5,5,5
8,1473.2200000000007,0.723434823478196,108.4499999999999,48.379999999999995,266.4000000000002,212.4400000000001,125.58000000000006,266.4000000000002,31.219999999999985,127.05000000000007,254.7400000000002,32.55999999999999,3,4,4,4,4,4,3,4,17,3
9,1630.9700000000007,0.7264644341102898,120.49999999999989,54.279999999999994,294.15000000000026,235.04000000000016,139.23000000000002,294.15000000000026,35.62,140.70000000000002,280.3400000000002,36.96,5,5,5,5,5,5,5,5,5,5
10,1788.720000000001,0.7289585651575279,132.54999999999987,60.17999999999999,321.9000000000003,257.6400000000002,152.87999999999997,321.9000000000003,40.02000000000001,154.34999999999997,305.9400000000002,41.360000000000014,5,5,5,5,5,5,5,5,5,5
11,1946.470000000001,0.7310475010575982,144.59999999999985,66.08,349.6500000000004,280.2400000000001,166.52999999999992,349.6500000000004,44.42000000000002,167.99999999999991,331.54000000000025,45.760000000000026,5,5,5,5,5,5,5,5,5,5
12,2104.2200000000007,0.7328224706322265,156.64999999999984,71.98000000000003,377.40000000000043,302.84000000000003,180.17999999999986,377.40000000000043,48.820000000000036,181.64999999999986,357.14000000000027,50.16000000000004,5,5,5,5,5,5,5,5,5,5
13,2261.9700000000007,0.7343492501238815,168.69999999999982,77.88000000000007,405.1500000000005,325.43999999999994,193.8299999999998,405.1500000000005,53.22000000000005,195.2999999999998,382.7400000000003,54.56000000000005,5,5,5,5,5,5,5,5,5,5
14,2419.7200000000007,0.73567645477462,180.7499999999998,83.7800000000001,432.90000000000055,348.03999999999985,207.47999999999976,432.90000000000055,57.62000000000006,208.94999999999976,408.3400000000003,58.960000000000065,5,5,5,5,5,5,5,5,5,5
15,2563.5300000000007,0.7418915759988377,195.20999999999978,89.68000000000013,432.90000000000055,375.15999999999974,221.1299999999997,460.6500000000006,62.90000000000008,222.5999999999997,439.06000000000034,64.24000000000008,6,5,0,6,5,5,6,5,6,6
16,2706.6000000000004,0.7469738118445114,207.25999999999976,96.76000000000018,432.90000000000055,397.75999999999965,237.50999999999965,493.95000000000067,67.30000000000007,238.97999999999965,464.66000000000037,69.52000000000005,5,6,0,5,6,6,5,6,5,6
17,2853.5400000000004,0.747323511527098,207.25999999999976,103.84000000000022,432.90000000000055,429.3999999999995,253.8899999999996,527.2500000000006,73.46000000000004,255.3599999999996,495.3800000000004,74.80000000000003,0,6,0,7,6,6,7,6,6,6
18,2927.5400000000004,0.7755241631321287,207.25999999999976,124.56000000000027,432.90000000000055,429.3999999999995,253.8899999999996,527.2500000000006,73.46000000000004,255.3599999999996,495.3800000000004,128.08000000000015,0,14,0,0,0,0,0,0,0,36
19,3043.3900000000003,0.8083268956157449,207.25999999999976,233.01000000000013,432.90000000000055,429.3999999999995,253.8899999999996,527.2500000000006,73.46000000000004,255.3599999999996,495.3800000000004,135.4800000000001,0,45,0,0,0,0,0,0,0,5
20,3161.19,0.8221502525600245,207.25999999999976,269.16000000000025,432.90000000000055,429.3999999999995,267.5399999999997,555.0000000000003,77.86000000000001,269.00999999999965,495.3800000000004,157.67999999999995,0,15,0,0,5,5,5,5,0,15
21,3295.71,0.8258758632896184,207.25999999999976,288.44000000000045,432.90000000000055,429.3999999999995,292.10999999999984,604.9499999999999,84.89999999999998,290.8499999999998,495.3800000000004,169.51999999999987,0,8,0,0,9,9,8,8,0,8
22,3449.22,0.8345501859151574,207.25999999999976,295.6700000000005,432.90000000000055,429.3999999999995,300.2999999999999,621.5999999999998,87.53999999999996,403.72999999999956,495.3800000000004,175.43999999999983,0,3,0,0,3,3,3,34,0,4
23,3583.47,0.8351883689367128,207.25999999999976,317.36000000000075,432.90000000000055,429.3999999999995,322.14000000000004,665.9999999999994,95.45999999999992,430.2899999999995,495.3800000000004,187.27999999999975,0,9,0,0,8,8,9,8,0,8
24,3720.4799999999996,0.8337237456954973,207.25999999999976,336.64000000000095,432.90000000000055,429.3999999999995,346.7100000000002,710.3999999999991,102.49999999999989,460.16999999999945,495.3800000000004,199.11999999999966,0,8,0,0,9,8,8,9,0,8
25,3858.4699999999993,0.829486123864206,207.25999999999976,355.92000000000115,432.90000000000055,429.3999999999995,368.55000000000035,760.3499999999987,109.53999999999985,486.7299999999994,495.3800000000004,212.43999999999957,0,8,0,0,8,9,8,8,0,9
26,4107.5199999999995,0.8150932826010152,207.25999999999976,358.3300000000012,678.6600000000008,429.3999999999995,368.55000000000035,760.3499999999987,110.41999999999985,486.7299999999994,495.3800000000004,212.43999999999957,0,1,48,0,0,0,1,0,0,0
27,4261.2699999999995,0.8107430190323605,207.25999999999976,375.20000000000135,714.5000000000008,429.3999999999995,387.6600000000005,799.1999999999983,116.57999999999981,513.2899999999994,495.3800000000004,222.7999999999995,0,7,7,0,7,7,7,8,0,7
28,4416.82,0.8053746369081595,207.25999999999976,392.0700000000015,755.4600000000008,429.3999999999995,406.7700000000006,838.049999999998,122.73999999999978,536.5299999999997,495.3800000000004,233.15999999999943,0,7,8,0,7,7,7,7,0,7
29,4621.759999999999,0.8026014987998334,207.25999999999976,396.8900000000016,765.7000000000008,429.3999999999995,414.96000000000066,854.6999999999979,124.49999999999977,543.1699999999998,649.0599999999998,236.1199999999994,0,2,2,0,3,3,2,2,34,2
30,4781.709999999999,0.7996607342286972,207.25999999999976,413.76000000000175,796.4200000000009,429.3999999999995,431.34000000000077,887.9999999999976,129.77999999999975,563.0900000000001,676.1799999999997,246.47999999999934,0,7,6,0,6,6,6,6,6,7
31,4949.19,0.7936770201499272,207.25999999999976,430.6300000000019,832.2600000000009,429.3999999999995,431.34000000000077,926.8499999999973,135.9399999999997,586.3300000000005,712.3399999999996,256.8399999999993,0,7,7,0,0,7,7,7,8,7
